TOKEN_KW_FN        "fn"
TOKEN_IDENTIFIER   "f"
TOKEN_LPAREN       "("
TOKEN_RPAREN       ")"
TOKEN_LBRACE       "{"
TOKEN_KW_LET       "let"
TOKEN_IDENTIFIER   "y"
TOKEN_COLON        ":"
TOKEN_KW_F64       "f64"
TOKEN_EQUAL        "="
TOKEN_NUMBER       "2.5e10"
TOKEN_SEMICOLON    ";"
TOKEN_KW_LET       "let"
TOKEN_IDENTIFIER   "z"
TOKEN_COLON        ":"
TOKEN_KW_F64       "f64"
TOKEN_EQUAL        "="
TOKEN_NUMBER       "3.14"
TOKEN_SEMICOLON    ";"
TOKEN_KW_RETURN    "return"
TOKEN_IDENTIFIER   "y"
TOKEN_PLUS         "+"
TOKEN_IDENTIFIER   "z"
TOKEN_SEMICOLON    ";"
TOKEN_RBRACE       "}"
TOKEN_EOF          ""
